Emergency,Old_client,Client_number,Email,Broken_part,Version
no,no,2278,kd7rsu@hotmail.com,A,3
yes,yes,6140,104kfeiw@gmail.com,C,2
yes,yes,7651,04or4e@gmail.com,C,7
yes,no,3169,iczmx@company.com,B,10
no,yes,9822,l880bl@gmail.com,B,10
no,no,6740,ywp1l9@company.com,B,9
yes,yes,2505,9n5jlt51@hotmail.com,B,3
no,no,5277,le1g6y2@gmail.com,A,4
no,yes,5797,jcqjfwuna@example.com,A,10
yes,yes,4325,74vwokias7@company.com,B,1
no,yes,9974,s504glz@hotmail.com,A,1
yes,no,9266,e7ughc@gmail.com,A,5
yes,no,5933,irg7v@gmail.com,B,4
no,yes,4212,ffophwa@gmail.com,A,9
yes,no,3143,s4jh1@example.com,B,10
yes,no,5689,ah3v8nk@example.com,A,5
no,yes,4788,hdre8z@hotmail.com,C,2
yes,no,7579,cmje50h@company.com,C,3
yes,no,4545,x9labro@company.com,C,7
no,no,3840,0kp8pvhd@company.com,C,2
no,yes,6746,oe4j36zosl@gmail.com,C,1
yes,no,1899,thggkb@hotmail.com,B,7
yes,no,8478,zomt5vz5@yahoo.com,A,1
no,no,6462,yjhe6@gmail.com,A,7
yes,yes,1415,o8g1gw977@hotmail.com,C,5
no,no,7681,pyr6zqwk40@company.com,C,8
yes,yes,8431,p9gdg3@yahoo.com,A,7
yes,yes,8013,wtosx7a@company.com,A,1
yes,no,8253,7or4q9o0j5@example.com,A,5
no,no,4581,4pokg9vo34@example.com,A,3
no,no,1380,vshqzf@hotmail.com,A,8
no,yes,9881,m0finron@example.com,A,2
yes,no,9369,kulhmg8@hotmail.com,A,2
yes,yes,8883,72xg38kj1@hotmail.com,B,3
yes,no,9451,xsiulk5@company.com,C,2
yes,no,2006,eklzj@example.com,A,7
yes,yes,3249,jmpqii4@company.com,B,1
no,yes,1344,ol0u9xnped@gmail.com,A,2
yes,yes,7309,b9aehojg2@yahoo.com,A,1
yes,yes,6819,9idoi@gmail.com,B,8
no,no,2592,dzb7s6r@example.com,A,3
yes,no,1696,bgel4np5@hotmail.com,A,5
yes,no,8687,wm2t7j8@hotmail.com,C,10
no,no,5839,dgau9@yahoo.com,B,4
no,no,9727,geo0f0@example.com,B,7
no,yes,4936,2cghi3qso2@example.com,A,9
no,no,2041,urgut1w3wj@example.com,B,3
no,yes,7920,atg91ot@company.com,A,5
yes,yes,6920,pcmww24m53@example.com,C,7
yes,yes,5325,axz8bjakol@yahoo.com,B,8
yes,no,8768,oa3vn2nhf5@example.com,C,7
no,no,5053,thilhjwkz@hotmail.com,A,2
no,no,8336,nmp4rn@company.com,A,7
no,no,4649,9z98zx@yahoo.com,B,7
no,yes,1790,jfpjhbr92@company.com,B,1
yes,no,3250,6523mx@hotmail.com,A,6
yes,no,3874,o42dqp8r@company.com,C,2
no,yes,4721,uowv7e@gmail.com,C,1
no,no,8602,4rynks21f@hotmail.com,C,10
no,yes,4916,6tkpjst055@company.com,B,6
yes,no,4637,qcbncv@example.com,A,2
yes,no,9217,yka0egtzh@yahoo.com,B,7
no,no,6794,xlxd70o@yahoo.com,C,6
yes,yes,1943,57uhd7s@company.com,B,10
yes,yes,8162,y8gz2nmcw@company.com,A,9
no,yes,6493,hgqoq@example.com,A,1
yes,yes,9878,9tssob@yahoo.com,C,6
yes,yes,4251,hym6oewq@hotmail.com,A,9
yes,no,8327,fbtspg7@gmail.com,B,9
no,no,1595,sg33s@hotmail.com,B,3
yes,no,1873,xqil9fjt95@yahoo.com,B,7
no,no,1561,fj8bbwy4e@gmail.com,A,8
yes,no,1905,h5eaz3nbm@company.com,B,8
no,yes,5458,mb9dz@gmail.com,A,7
no,no,5212,w9litpzof@yahoo.com,A,10
no,yes,5248,s96ic4g@hotmail.com,A,9
yes,yes,3566,vpztvv@yahoo.com,C,4
yes,yes,2072,7hqt63@gmail.com,A,1
no,yes,3828,qnqb98br8c@yahoo.com,A,8
yes,no,1121,oaqidkc@hotmail.com,B,5
yes,no,2803,uylxys@company.com,B,6
no,no,6481,zwn8x@gmail.com,A,3
no,no,4544,6512afix5r@company.com,B,3
yes,no,2811,0gm6b5kq4h@hotmail.com,A,6
no,yes,7761,46404@company.com,C,9
no,no,7196,ewrho5l@yahoo.com,B,6
yes,no,4859,zlzgu@hotmail.com,B,10
yes,yes,7486,zdkuh2xs@company.com,B,9
yes,no,8697,mfyuc@yahoo.com,B,4
yes,no,3302,leaj7m@gmail.com,C,8
yes,no,5593,uw6mke9@gmail.com,A,7
yes,no,2101,hsv6mi@gmail.com,C,2
yes,no,2639,xh8uzyh1c@company.com,C,10
yes,yes,9459,n8ciorht@example.com,A,4
yes,yes,8738,57xyhe5t@yahoo.com,C,2
yes,yes,3016,i98oo6i449@gmail.com,C,3
yes,yes,1242,6d9qs9lw@hotmail.com,C,8
yes,no,1746,fue4j16j@example.com,A,9
yes,no,8721,0xrj50fvj@company.com,C,9
no,no,1176,ds7n2nd@gmail.com,B,2
